po2,normalizedUptake,relativeUptake
0.100156644,16.72236256,10.50164369
0.145271481,16.34366687,10.26382279
0.22193856,15.93001788,10.00405123
0.32179257,15.38410863,9.661220218
0.442834631,14.73938183,9.256331792
0.593723221,14.06196762,8.830915667
0.788926842,13.25103433,8.321649561
0.97815994,12.47555787,7.834650341
1.276590412,11.36414371,7.136682248
1.754997713,10.25121896,6.437765507
2.350768681,9.139049505,5.739323089
3.28585144,7.691194119,4.830069907
4.79489899,6.108309066,3.836018093
7.436225696,4.623989795,2.903865591
11.43801356,3.340578555,2.097883332
17.60738368,2.425037135,1.522923321
27.59224894,1.743091164,1.094661251
41.79031278,1.329693938,0.835047793
65.53165381,0.948732366,0.595803926
95.09813989,0.804135651,0.504997189
